,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,Cheat Sheet
1460,2020-04-09 00:00:00,Correctional Health,County,"Gown, Surgical, Sterile, XL",SNS,Gowns,35.0,30.0,1050,Good
1461,2020-04-09 00:00:00,Correctional Health,County,"Gown, Surgical, Sterile, XXL",SNS,Gowns,21.0,18.0,378,Good
1462,2020-04-09 00:00:00,Correctional Health,County,"Gloves, (LATEX), Small",SNS,Gloves,83.0,100.0,8300,Good
1463,2020-04-09 00:00:00,Correctional Health,County,"Gloves, (LATEX), Medium",SNS,Gloves,84.0,100.0,8400,Good
1464,2020-04-09 00:00:00,Correctional Health,County,"Gloves, (LATEX), Large",SNS,Gloves,50.0,100.0,5000,Good
1465,2020-04-09 00:00:00,Correctional Health,County,"Gloves, (NITRILE), Small",SNS,Gloves,60.0,100.0,6000,Good
1466,2020-04-09 00:00:00,Correctional Health,County,"Gloves, (NITRILE), Medium",SNS,Gloves,71.0,100.0,7100,Good
1467,2020-04-09 00:00:00,Correctional Health,County,"Gloves, (NITRILE), Large",SNS,Gloves,70.0,100.0,7000,Good
1469,2020-04-09 00:00:00,Correctional Health,County,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
1470,2020-04-09 00:00:00,Correctional Health,County,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1471,2020-04-09 00:00:00,Correctional Health,County,"Face Shield, Full Foam Top",SNS,Face Shield,56.0,24.0,1344,Good
1486,2020-04-09 00:00:00,Glendale FD PD,EMS,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,10.0,30.0,300,Good
1496,2020-04-09 00:00:00,Glendale FD PD,EMS,"Gown, Surgical, Sterile, Large",SNS,Gowns,4.0,30.0,120,Good
1497,2020-04-09 00:00:00,Glendale FD PD,EMS,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
1498,2020-04-09 00:00:00,Glendale FD PD,EMS,"Gown, Surgical, Sterile, XXL",SNS,Gowns,4.0,18.0,72,Good
1508,2020-04-09 00:00:00,Glendale FD PD,EMS,"Face Shield, Full Foam Top",SNS,Face Shield,4.0,24.0,96,Good
1526,2020-04-09 00:00:00,Honor Health,Acute Care,"Masks, N95, Small",SNS,N95,5.0,20.0,100,Good
1527,2020-04-09 00:00:00,Honor Health,Acute Care,"Masks, N95, Med/Large",SNS,N95,45.0,20.0,900,Good
1582,2020-04-09 00:00:00,Town of Carefree,EMS,"Face Shield, Full Foam Top",SNS,Face Shield,4.0,24.0,96,Good
1596,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,20.0,50.0,1000,Good
1601,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Masks, N95, Med/Large",SNS,N95,13.0,20.0,260,Good
1607,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1610,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,2.0,100.0,200,Good
1611,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,2.0,100.0,200,Good
1612,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,2.0,100.0,200,Good
1617,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,2.0,100.0,200,Good
1618,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,2.0,100.0,200,Good
1619,2020-04-10 00:00:00,Aztec Health Care,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
1633,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,20.0,50.0,1000,Good
1638,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Masks, N95, Med/Large",SNS,N95,13.0,20.0,260,Good
1644,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
1647,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,2.0,100.0,200,Good
1648,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,2.0,100.0,200,Good
1649,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,2.0,100.0,200,Good
1654,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,2.0,100.0,200,Good
1655,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,2.0,100.0,200,Good
1656,2020-04-10 00:00:00,Courtyard Towers,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
1670,2020-04-10 00:00:00,Desert Blossom,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,52.0,50.0,2600,Good
1675,2020-04-10 00:00:00,Desert Blossom,LTCF,"Masks, N95, Med/Large",SNS,N95,53.0,20.0,1060,Good
1681,2020-04-10 00:00:00,Desert Blossom,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,7.0,30.0,210,Good
1682,2020-04-10 00:00:00,Desert Blossom,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,6.0,30.0,180,Good
1684,2020-04-10 00:00:00,Desert Blossom,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,5.0,100.0,500,Good
1688,2020-04-10 00:00:00,Desert Blossom,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,3.0,100.0,300,Good
1692,2020-04-10 00:00:00,Desert Blossom,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,3.0,100.0,300,Good
1693,2020-04-10 00:00:00,Desert Blossom,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,8.0,24.0,192,Good
1712,2020-04-10 00:00:00,Desert Sky,LTCF,"Masks, N95, Med/Large",SNS,N95,5.0,20.0,100,Good
1718,2020-04-10 00:00:00,Desert Sky,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,4.0,30.0,120,Good
1719,2020-04-10 00:00:00,Desert Sky,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,4.0,30.0,120,Good
1730,2020-04-10 00:00:00,Desert Sky,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,1.0,24.0,24,Good
1744,2020-04-10 00:00:00,Desert Winds Assisted Living,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,5.0,50.0,250,Good
1748,2020-04-10 00:00:00,Desert Winds Assisted Living,LTCF,"Masks, N95, Small",SNS,N95,5.0,20.0,100,Good
1749,2020-04-10 00:00:00,Desert Winds Assisted Living,LTCF,"Masks, N95, Med/Large",SNS,N95,10.0,20.0,200,Good
1762,2020-04-10 00:00:00,Desert Winds Assisted Living,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
1763,2020-04-10 00:00:00,Desert Winds Assisted Living,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,1.0,100.0,100,Good
1767,2020-04-10 00:00:00,Desert Winds Assisted Living,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,1.0,24.0,24,Good
1781,2020-04-10 00:00:00,Ensign Citadel,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,10.0,50.0,500,Good
1792,2020-04-10 00:00:00,Ensign Citadel,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,4.0,30.0,120,Good
1793,2020-04-10 00:00:00,Ensign Citadel,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,4.0,30.0,120,Good
1794,2020-04-10 00:00:00,Ensign Citadel,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,7.0,18.0,126,Good
1818,2020-04-10 00:00:00,Fellowship Square,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,1.0,50.0,50,Good
1824,2020-04-10 00:00:00,Fellowship Square,LTCF,"Impermeable coverall without integrated hood, Medium",SNS,Alt. Gowns,60.0,1.0,60,Good
1829,2020-04-10 00:00:00,Fellowship Square,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,90.0,30.0,2700,Good
1830,2020-04-10 00:00:00,Fellowship Square,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,30.0,30.0,900,Good
1841,2020-04-10 00:00:00,Fellowship Square,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
1855,2020-04-10 00:00:00,Glynnis Place,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,1.0,50.0,50,Good
1860,2020-04-10 00:00:00,Glynnis Place,LTCF,"Masks, N95, Med/Large",SNS,N95,1.0,20.0,20,Good
1867,2020-04-10 00:00:00,Glynnis Place,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,1.0,30.0,30,Good
1874,2020-04-10 00:00:00,Glynnis Place,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,1.0,100.0,100,Good
1878,2020-04-10 00:00:00,Glynnis Place,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,1.0,24.0,24,Good
1892,2020-04-10 00:00:00,Mi Casa,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,30.0,50.0,1500,Good
1897,2020-04-10 00:00:00,Mi Casa,LTCF,"Masks, N95, Med/Large",SNS,N95,8.0,20.0,160,Good
1903,2020-04-10 00:00:00,Mi Casa,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,8.0,30.0,240,Good
1904,2020-04-10 00:00:00,Mi Casa,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,8.0,30.0,240,Good
1915,2020-04-10 00:00:00,Mi Casa,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
1929,2020-04-10 00:00:00,Mission Palms,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,20.0,50.0,1000,Good
1934,2020-04-10 00:00:00,Mission Palms,LTCF,"Masks, N95, Med/Large",SNS,N95,13.0,20.0,260,Good
1940,2020-04-10 00:00:00,Mission Palms,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,30.0,30.0,900,Good
1941,2020-04-10 00:00:00,Mission Palms,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,30.0,30.0,900,Good
1952,2020-04-10 00:00:00,Mission Palms,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,8.0,24.0,192,Good
1966,2020-04-10 00:00:00,Olive Grove,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,10.0,50.0,500,Good
1971,2020-04-10 00:00:00,Olive Grove,LTCF,"Masks, N95, Med/Large",SNS,N95,10.0,20.0,200,Good
1977,2020-04-10 00:00:00,Olive Grove,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,4.0,30.0,120,Good
1978,2020-04-10 00:00:00,Olive Grove,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,4.0,30.0,120,Good
1979,2020-04-10 00:00:00,Olive Grove,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,7.0,18.0,126,Good
1980,2020-04-10 00:00:00,Olive Grove,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,2.0,100.0,200,Good
1981,2020-04-10 00:00:00,Olive Grove,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,2.0,100.0,200,Good
1982,2020-04-10 00:00:00,Olive Grove,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,2.0,100.0,200,Good
1983,2020-04-10 00:00:00,Olive Grove,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,22.0,100.0,2200,Good
1984,2020-04-10 00:00:00,Olive Grove,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,2.0,100.0,200,Good
1985,2020-04-10 00:00:00,Olive Grove,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
1987,2020-04-10 00:00:00,Olive Grove,LTCF,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,2.0,100.0,200,Good
1988,2020-04-10 00:00:00,Olive Grove,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
1989,2020-04-10 00:00:00,Olive Grove,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
2003,2020-04-10 00:00:00,Pennington Gardens,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,18.0,50.0,900,Good
2008,2020-04-10 00:00:00,Pennington Gardens,LTCF,"Masks, N95, Med/Large",SNS,N95,3.0,20.0,60,Good
2014,2020-04-10 00:00:00,Pennington Gardens,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,2.0,30.0,60,Good
2015,2020-04-10 00:00:00,Pennington Gardens,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
2024,2020-04-10 00:00:00,Pennington Gardens,LTCF,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
2026,2020-04-10 00:00:00,Pennington Gardens,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
2040,2020-04-10 00:00:00,R and D Adult Care,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,1.0,50.0,50,Good
2045,2020-04-10 00:00:00,R and D Adult Care,LTCF,"Masks, N95, Med/Large",SNS,N95,2.0,20.0,40,Good
2051,2020-04-10 00:00:00,R and D Adult Care,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
2055,2020-04-10 00:00:00,R and D Adult Care,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
2063,2020-04-10 00:00:00,R and D Adult Care,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,1.0,24.0,24,Good
2077,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,24.0,50.0,1200,Good
2081,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Masks, N95, Small",SNS,N95,3.0,20.0,60,Good
2082,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Masks, N95, Med/Large",SNS,N95,31.0,20.0,620,Good
2088,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,25.0,30.0,750,Good
2089,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,25.0,30.0,750,Good
2090,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,10.0,18.0,180,Good
2091,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
2092,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
2093,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
2094,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
2095,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
2096,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,1.0,100.0,100,Good
2098,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
2099,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
2100,2020-04-10 00:00:00,Scottsdale Village,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,13.0,24.0,312,Good
2114,2020-04-10 00:00:00,Wellspring,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,15.0,50.0,750,Good
2119,2020-04-10 00:00:00,Wellspring,LTCF,"Masks, N95, Med/Large",SNS,N95,12.0,20.0,240,Good
2125,2020-04-10 00:00:00,Wellspring,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,2.0,30.0,60,Good
2126,2020-04-10 00:00:00,Wellspring,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
2129,2020-04-10 00:00:00,Wellspring,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
2137,2020-04-10 00:00:00,Wellspring,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
2161,2020-04-27 00:00:00,Banner Hospital- Chandler,Acute Care ,"Impermeable coverall without integrated hood, 2X-Large",SNS,Alt. Gowns,55.0,1.0,55,Good
2182,2020-04-27 00:00:00,Barton House,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,3.0,50.0,150,Good
2183,2020-04-27 00:00:00,Barton House,LTCF,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,3.0,30.0,90,Good
2187,2020-04-27 00:00:00,Barton House,LTCF,"Masks, N95, Med/Large",SNS,N95,1.0,20.0,20,Good
2193,2020-04-27 00:00:00,Barton House,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
2194,2020-04-27 00:00:00,Barton House,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
2195,2020-04-27 00:00:00,Barton House,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,1.0,18.0,18,Good
2205,2020-04-27 00:00:00,Barton House,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
2213,2020-04-27 00:00:00,Desert Cove,LTCF,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,3.0,30.0,90,Good
2217,2020-04-27 00:00:00,Desert Cove,LTCF,"Masks, N95, Med/Large",SNS,N95,2.0,20.0,40,Good
2240,2020-04-27 00:00:00,Desert Cove,LTCF,Ponchos,Maricopa,Alt. Gowns,4.0,24.0,96,Good
2253,2020-04-27 00:00:00,Glencroft Center for Modern Aging,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
2254,2020-04-27 00:00:00,Glencroft Center for Modern Aging,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
2255,2020-04-27 00:00:00,Glencroft Center for Modern Aging,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,1.0,18.0,18,Good
2265,2020-04-27 00:00:00,Glencroft Center for Modern Aging,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
2272,2020-04-27 00:00:00,Sierra Winds,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,6.0,50.0,300,Good
2283,2020-04-27 00:00:00,Sierra Winds,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
2284,2020-04-27 00:00:00,Sierra Winds,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,2.0,30.0,60,Good
2285,2020-04-27 00:00:00,Sierra Winds,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,1.0,18.0,18,Good
2295,2020-04-27 00:00:00,Sierra Winds,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,2.0,24.0,48,Good
2302,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,5.0,50.0,250,Good
2303,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,1.0,30.0,30,Good
2307,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Masks, N95, Med/Large",SNS,N95,1.0,20.0,20,Good
2316,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,3.0,100.0,300,Good
2317,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,3.0,100.0,300,Good
2318,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,3.0,100.0,300,Good
2320,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,2.0,100.0,200,Good
2321,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
2324,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
2325,2020-04-27 00:00:00,Springs of Scottsdale,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,1.0,24.0,24,Good
2360,2020-04-28 00:00:00,Beatitudes Campus,LTCF,Ponchos,Maricopa,Alt. Gowns,2.0,24.0,48,Good
2362,2020-04-28 00:00:00,Creative Innovations,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,3.0,50.0,150,Good
2373,2020-04-28 00:00:00,Creative Innovations,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
2374,2020-04-28 00:00:00,Creative Innovations,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,1.0,30.0,30,Good
2385,2020-04-28 00:00:00,Creative Innovations,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,6.0,24.0,144,Good
2390,2020-04-28 00:00:00,Creative Innovations,LTCF,Ponchos,SNS,Alt. Gowns,2.0,24.0,48,Were ponchos actually given? (48 from Hand reciept)
2392,2020-04-28 00:00:00,Park Terrace at Greenway,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,4.0,50.0,200,Good
2397,2020-04-28 00:00:00,Park Terrace at Greenway,LTCF,"Masks, N95, Med/Large",SNS,N95,1.0,20.0,20,Good
2415,2020-04-28 00:00:00,Park Terrace at Greenway,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,1.0,24.0,24,Good
2420,2020-04-28 00:00:00,Park Terrace at Greenway,LTCF,Ponchos,Maricopa,Alt. Gowns,2.0,24.0,48,Good
2448,2020-04-30 00:00:00,Allegiant Health Care,LTCF,Hand Sanitizer,AZ/MasCache,Hand Sanitizer,6.0,1.0,6,Good
2452,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,20.0,50.0,1000,Good
2466,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,2.0,100.0,200,Good
2467,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,3.0,100.0,300,Good
2468,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,2.0,100.0,200,Good
2470,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,2.0,100.0,200,Good
2471,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,2.0,100.0,200,Good
2474,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
2475,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,5.0,24.0,120,Good
2480,2020-04-30 00:00:00,Elderly & Physically Disabled Providers Alliance,LTCF,Ponchos,Maricopa,Alt. Gowns,8.0,24.0,192,Good
2482,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,5.0,50.0,250,Good
2483,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,10.0,30.0,300,Good
2496,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,3.0,100.0,300,Good
2497,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Gloves, (LATEX), Medium",SNS,Gloves,6.0,100.0,600,Good
2498,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Gloves, (LATEX), Large",SNS,Gloves,3.0,100.0,300,Good
2500,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Gloves, (NITRILE), Medium",SNS,Gloves,3.0,100.0,300,Good
2501,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Gloves, (NITRILE), Large",SNS,Gloves,3.0,100.0,300,Good
2504,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Gloves, non-latex (VINYL), Large",SNS,Gloves,2.0,100.0,200,Good
2505,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,"Face Shield, Full Foam Top",SNS,Face Shield,5.0,24.0,120,Good
2509,2020-04-30 00:00:00,Immanuel Campus of Care ,LTCF,Rain Coats,Maricopa,Alt. Gowns,64.0,,64,4 Cases 16 box 
2513,2020-04-30 00:00:00,Lake Pleasant Post Acute Rehab,LTCF,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,4.0,30.0,120,Good
2517,2020-04-30 00:00:00,Lake Pleasant Post Acute Rehab,LTCF,"Masks, N95, Med/Large",SNS,N95,4.0,20.0,80,Good
2523,2020-04-30 00:00:00,Lake Pleasant Post Acute Rehab,LTCF,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
2524,2020-04-30 00:00:00,Lake Pleasant Post Acute Rehab,LTCF,"Gown, Surgical, Sterile, XL",SNS,Gowns,1.0,30.0,30,Good
2525,2020-04-30 00:00:00,Lake Pleasant Post Acute Rehab,LTCF,"Gown, Surgical, Sterile, XXL",SNS,Gowns,1.0,18.0,18,Good
2539,2020-04-30 00:00:00,Lake Pleasant Post Acute Rehab,LTCF,Rain Coats,Maricopa,Alt. Gowns,3.0,25.0,75,Good
2549,2020-04-30 00:00:00,Lura Turner Homes,LTCF,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,1.0,50.0,50,Good
2550,2020-04-30 00:00:00,Lura Turner Homes,LTCF,"Mask, N95 Particulate Respirator NIOSH [3M 8000], Med/Lg",SNS,N95,1.0,30.0,30,Good
2563,2020-04-30 00:00:00,Lura Turner Homes,LTCF,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
