,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,week_of_year
5856,2020-03-25,AZ State Hospital,Acute,"Gloves, non-latex (VINYL), Small",SNS,gloves,1.0,100.0,100,12
5857,2020-03-25,AZ State Hospital,Acute,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,12
5858,2020-03-25,AZ State Hospital,Acute,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,12
5859,2020-03-25,AZ State Hospital,Acute,"Face Shield, Full Foam Top",SNS,face shield,6.0,24.0,144,12
5865,2020-03-25,AZ State Hospital,Acute,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,10.0,30.0,300,12
5873,2020-03-25,Banner Hospital,Acute,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,272.0,50.0,13600,12
5879,2020-03-25,Banner Hospital,Acute,"Impermeable coverall without integrated hood, Medium",SNS,alt. gowns,3.0,1.0,3,12
5880,2020-03-25,Banner Hospital,Acute,"Impermeable coverall without integrated hood, Large",SNS,alt. gowns,8.0,1.0,8,12
5881,2020-03-25,Banner Hospital,Acute,"Impermeable coverall without integrated hood, X-Large",SNS,alt. gowns,8.0,1.0,8,12
5882,2020-03-25,Banner Hospital,Acute,"Impermeable coverall without integrated hood, 2X-Large",SNS,alt. gowns,4.0,1.0,4,12
5883,2020-03-25,Banner Hospital,Acute,"Impermeable coverall without integrated hood, 3X-Large",SNS,alt. gowns,1.0,1.0,1,12
5884,2020-03-25,Banner Hospital,Acute,"Gown, Surgical, Sterile, Large",SNS,gowns,45.0,30.0,1350,12
5885,2020-03-25,Banner Hospital,Acute,"Gown, Surgical, Sterile, XL",SNS,gowns,48.0,30.0,1440,12
5886,2020-03-25,Banner Hospital,Acute,"Gown, Surgical, Sterile, XXL",SNS,gowns,80.0,18.0,1440,12
5887,2020-03-25,Banner Hospital,Acute,"Gloves, (LATEX), Small",SNS,gloves,25.0,100.0,2500,12
5888,2020-03-25,Banner Hospital,Acute,"Gloves, (LATEX), Medium",SNS,gloves,29.0,100.0,2900,12
5889,2020-03-25,Banner Hospital,Acute,"Gloves, (LATEX), Large",SNS,gloves,38.0,100.0,3800,12
5891,2020-03-25,Banner Hospital,Acute,"Gloves, (NITRILE), Medium",SNS,gloves,14.0,100.0,1400,12
5894,2020-03-25,Banner Hospital,Acute,"Gloves, non-latex (VINYL), Medium",SNS,gloves,12.0,100.0,1200,12
5895,2020-03-25,Banner Hospital,Acute,"Gloves, non-latex (VINYL), Large",SNS,gloves,36.0,100.0,3600,12
5896,2020-03-25,Banner Hospital,Acute,"Face Shield, Full Foam Top",SNS,face shield,217.0,24.0,5208,12
5897,2020-03-25,Banner Hospital,Acute,N95 Duck Bill Small,SNS,n95,1.0,35.0,35,12
5898,2020-03-25,Banner Hospital,Acute,N95 Duck Bill Reg,SNS,n95,1.0,35.0,35,12
5902,2020-03-25,Banner Hospital,Acute,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,371.0,30.0,11130,12
5910,2020-03-25,Dignity Health,Acute,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,105.0,50.0,5250,12
5916,2020-03-25,Dignity Health,Acute,"Impermeable coverall without integrated hood, Medium",SNS,alt. gowns,1.0,1.0,1,12
5917,2020-03-25,Dignity Health,Acute,"Impermeable coverall without integrated hood, Large",SNS,alt. gowns,3.0,1.0,3,12
5919,2020-03-25,Dignity Health,Acute,"Impermeable coverall without integrated hood, 2X-Large",SNS,alt. gowns,1.0,1.0,1,12
5920,2020-03-25,Dignity Health,Acute,"Impermeable coverall without integrated hood, 3X-Large",SNS,alt. gowns,3.0,1.0,3,12
5921,2020-03-25,Dignity Health,Acute,"Gown, Surgical, Sterile, Large",SNS,gowns,18.0,30.0,540,12
5922,2020-03-25,Dignity Health,Acute,"Gown, Surgical, Sterile, XL",SNS,gowns,19.0,30.0,570,12
5923,2020-03-25,Dignity Health,Acute,"Gown, Surgical, Sterile, XXL",SNS,gowns,29.0,18.0,522,12
5924,2020-03-25,Dignity Health,Acute,"Gloves, (LATEX), Small",SNS,gloves,9.0,100.0,900,12
5934,2020-03-25,Dignity Health,Acute,N95 Duck Bill Small,SNS,n95,1.0,35.0,35,12
5935,2020-03-25,Dignity Health,Acute,N95 Duck Bill Reg,SNS,n95,1.0,35.0,35,12
5939,2020-03-25,Dignity Health,Acute,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,143.0,30.0,4290,12
5947,2020-03-25,Honor Health,Acute,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,126.0,50.0,6300,12
5953,2020-03-25,Honor Health,Acute,"Impermeable coverall without integrated hood, Medium",SNS,alt. gowns,1.0,1.0,1,12
5954,2020-03-25,Honor Health,Acute,"Impermeable coverall without integrated hood, Large",SNS,alt. gowns,4.0,1.0,4,12
5955,2020-03-25,Honor Health,Acute,"Impermeable coverall without integrated hood, X-Large",SNS,alt. gowns,4.0,1.0,4,12
5956,2020-03-25,Honor Health,Acute,"Impermeable coverall without integrated hood, 2X-Large",SNS,alt. gowns,2.0,1.0,2,12
5958,2020-03-25,Honor Health,Acute,"Gown, Surgical, Sterile, Large",SNS,gowns,21.0,30.0,630,12
5959,2020-03-25,Honor Health,Acute,"Gown, Surgical, Sterile, XL",SNS,gowns,22.0,30.0,660,12
5960,2020-03-25,Honor Health,Acute,"Gown, Surgical, Sterile, XXL",SNS,gowns,35.0,18.0,630,12
5961,2020-03-25,Honor Health,Acute,"Gloves, (LATEX), Small",SNS,gloves,10.0,100.0,1000,12
5962,2020-03-25,Honor Health,Acute,"Gloves, (LATEX), Medium",SNS,gloves,13.0,100.0,1300,12
5963,2020-03-25,Honor Health,Acute,"Gloves, (LATEX), Large",SNS,gloves,18.0,100.0,1800,12
5965,2020-03-25,Honor Health,Acute,"Gloves, (NITRILE), Medium",SNS,gloves,6.0,100.0,600,12
5966,2020-03-25,Honor Health,Acute,"Gloves, (NITRILE), Large",SNS,gloves,11.0,100.0,1100,12
5968,2020-03-25,Honor Health,Acute,"Gloves, non-latex (VINYL), Medium",SNS,gloves,6.0,100.0,600,12
5969,2020-03-25,Honor Health,Acute,"Gloves, non-latex (VINYL), Large",SNS,gloves,6.0,100.0,600,12
5970,2020-03-25,Honor Health,Acute,"Face Shield, Full Foam Top",SNS,face shield,100.0,24.0,2400,12
5971,2020-03-25,Honor Health,Acute,N95 Duck Bill Small,SNS,n95,1.0,35.0,35,12
5972,2020-03-25,Honor Health,Acute,N95 Duck Bill Reg,SNS,n95,1.0,35.0,35,12
5976,2020-03-25,Honor Health,Acute,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,171.0,30.0,5130,12
5984,2020-03-25,Mayo Hospital ,Acute,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,35.0,50.0,1750,12
5991,2020-03-25,Mayo Hospital ,Acute,"Impermeable coverall without integrated hood, Large",SNS,alt. gowns,1.0,1.0,1,12
5992,2020-03-25,Mayo Hospital ,Acute,"Impermeable coverall without integrated hood, X-Large",SNS,alt. gowns,1.0,1.0,1,12
5993,2020-03-25,Mayo Hospital ,Acute,"Impermeable coverall without integrated hood, 2X-Large",SNS,alt. gowns,1.0,1.0,1,12
5995,2020-03-25,Mayo Hospital ,Acute,"Gown, Surgical, Sterile, Large",SNS,gowns,6.0,30.0,180,12
5996,2020-03-25,Mayo Hospital ,Acute,"Gown, Surgical, Sterile, XL",SNS,gowns,6.0,30.0,180,12
5997,2020-03-25,Mayo Hospital ,Acute,"Gown, Surgical, Sterile, XXL",SNS,gowns,10.0,18.0,180,12
5998,2020-03-25,Mayo Hospital ,Acute,"Gloves, (LATEX), Small",SNS,gloves,3.0,100.0,300,12
5999,2020-03-25,Mayo Hospital ,Acute,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,12
6000,2020-03-25,Mayo Hospital ,Acute,"Gloves, (LATEX), Large",SNS,gloves,5.0,100.0,500,12
6002,2020-03-25,Mayo Hospital ,Acute,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,12
6003,2020-03-25,Mayo Hospital ,Acute,"Gloves, (NITRILE), Large",SNS,gloves,3.0,100.0,300,12
6005,2020-03-25,Mayo Hospital ,Acute,"Gloves, non-latex (VINYL), Medium",SNS,gloves,2.0,100.0,200,12
6006,2020-03-25,Mayo Hospital ,Acute,"Gloves, non-latex (VINYL), Large",SNS,gloves,2.0,100.0,200,12
6007,2020-03-25,Mayo Hospital ,Acute,"Face Shield, Full Foam Top",SNS,face shield,28.0,24.0,672,12
6013,2020-03-25,Mayo Hospital ,Acute,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,48.0,30.0,1440,12
6021,2020-03-25,Phoenix Childrens Hospital,Acute,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,14.0,50.0,700,12
6029,2020-03-25,Phoenix Childrens Hospital,Acute,"Impermeable coverall without integrated hood, X-Large",SNS,alt. gowns,1.0,1.0,1,12
6032,2020-03-25,Phoenix Childrens Hospital,Acute,"Gown, Surgical, Sterile, Large",SNS,gowns,2.0,30.0,60,12
6033,2020-03-25,Phoenix Childrens Hospital,Acute,"Gown, Surgical, Sterile, XL",SNS,gowns,3.0,30.0,90,12
6034,2020-03-25,Phoenix Childrens Hospital,Acute,"Gown, Surgical, Sterile, XXL",SNS,gowns,4.0,18.0,72,12
6035,2020-03-25,Phoenix Childrens Hospital,Acute,"Gloves, (LATEX), Small",SNS,gloves,100.0,100.0,10000,12
6036,2020-03-25,Phoenix Childrens Hospital,Acute,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,12
6037,2020-03-25,Phoenix Childrens Hospital,Acute,"Gloves, (LATEX), Large",SNS,gloves,2.0,100.0,200,12
6039,2020-03-25,Phoenix Childrens Hospital,Acute,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,12
6040,2020-03-25,Phoenix Childrens Hospital,Acute,"Gloves, (NITRILE), Large",SNS,gloves,1.0,100.0,100,12
6042,2020-03-25,Phoenix Childrens Hospital,Acute,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,12
6043,2020-03-25,Phoenix Childrens Hospital,Acute,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,12
6044,2020-03-25,Phoenix Childrens Hospital,Acute,"Face Shield, Full Foam Top",SNS,face shield,12.0,24.0,288,12
6050,2020-03-25,Phoenix Childrens Hospital,Acute,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,19.0,30.0,570,12
6058,2020-03-25,Stewart Hospital,Acute,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,21.0,50.0,1050,12
6066,2020-03-25,Stewart Hospital,Acute,"Impermeable coverall without integrated hood, X-Large",SNS,alt. gowns,1.0,1.0,1,12
6067,2020-03-25,Stewart Hospital,Acute,"Impermeable coverall without integrated hood, 2X-Large",SNS,alt. gowns,1.0,1.0,1,12
6069,2020-03-25,Stewart Hospital,Acute,"Gown, Surgical, Sterile, Large",SNS,gowns,4.0,30.0,120,12
6070,2020-03-25,Stewart Hospital,Acute,"Gown, Surgical, Sterile, XL",SNS,gowns,4.0,30.0,120,12
6071,2020-03-25,Stewart Hospital,Acute,"Gown, Surgical, Sterile, XXL",SNS,gowns,6.0,18.0,108,12
6072,2020-03-25,Stewart Hospital,Acute,"Gloves, (LATEX), Small",SNS,gloves,2.0,100.0,200,12
6073,2020-03-25,Stewart Hospital,Acute,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,12
6074,2020-03-25,Stewart Hospital,Acute,"Gloves, (LATEX), Large",SNS,gloves,3.0,100.0,300,12
6076,2020-03-25,Stewart Hospital,Acute,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,12
6077,2020-03-25,Stewart Hospital,Acute,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,12
6079,2020-03-25,Stewart Hospital,Acute,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,12
6080,2020-03-25,Stewart Hospital,Acute,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,12
6087,2020-03-25,Stewart Hospital,Acute,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,29.0,30.0,870,12
6095,2020-03-25,Valleywise Hospital,Acute,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,35.0,50.0,1750,12
6103,2020-03-25,Valleywise Hospital,Acute,"Impermeable coverall without integrated hood, X-Large",SNS,alt. gowns,1.0,1.0,1,12
6104,2020-03-25,Valleywise Hospital,Acute,"Impermeable coverall without integrated hood, 2X-Large",SNS,alt. gowns,1.0,1.0,1,12
6105,2020-03-25,Valleywise Hospital,Acute,"Impermeable coverall without integrated hood, 3X-Large",SNS,alt. gowns,1.0,1.0,1,12
6106,2020-03-25,Valleywise Hospital,Acute,"Gown, Surgical, Sterile, Large",SNS,gowns,6.0,30.0,180,12
6107,2020-03-25,Valleywise Hospital,Acute,"Gown, Surgical, Sterile, XL",SNS,gowns,6.0,30.0,180,12
6108,2020-03-25,Valleywise Hospital,Acute,"Gown, Surgical, Sterile, XXL",SNS,gowns,10.0,18.0,180,12
6109,2020-03-25,Valleywise Hospital,Acute,"Gloves, (LATEX), Small",SNS,gloves,3.0,100.0,300,12
6110,2020-03-25,Valleywise Hospital,Acute,"Gloves, (LATEX), Medium",SNS,gloves,3.0,100.0,300,12
6113,2020-03-25,Valleywise Hospital,Acute,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,12
6116,2020-03-25,Valleywise Hospital,Acute,"Gloves, non-latex (VINYL), Medium",SNS,gloves,2.0,100.0,200,12
6117,2020-03-25,Valleywise Hospital,Acute,"Gloves, non-latex (VINYL), Large",SNS,gloves,2.0,100.0,200,12
6118,2020-03-25,Valleywise Hospital,Acute,"Face Shield, Full Foam Top",SNS,face shield,28.0,24.0,672,12
6124,2020-03-25,Valleywise Hospital,Acute,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,48.0,30.0,1440,12
6132,2020-03-27,Allegiant,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,7.0,50.0,350,12
6144,2020-03-27,Allegiant,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,4.0,30.0,120,12
6155,2020-03-27,Allegiant,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,6.0,24.0,144,12
6161,2020-03-27,Allegiant,Ltcf,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,10.0,30.0,300,12
6198,2020-03-27,Correctional Health,County,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,19.0,30.0,570,12
6206,2020-03-27,Esign Alta Hospital,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,105.0,50.0,5250,12
6217,2020-03-27,Esign Alta Hospital,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,3.0,30.0,90,12
6218,2020-03-27,Esign Alta Hospital,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,3.0,30.0,90,12
6219,2020-03-27,Esign Alta Hospital,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,4.0,18.0,72,12
6221,2020-03-27,Esign Alta Hospital,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,2.0,100.0,200,12
6222,2020-03-27,Esign Alta Hospital,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,2.0,100.0,200,12
6224,2020-03-27,Esign Alta Hospital,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,12
6225,2020-03-27,Esign Alta Hospital,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,12
6227,2020-03-27,Esign Alta Hospital,Ltcf,"Gloves, non-latex (VINYL), Medium",SNS,gloves,1.0,100.0,100,12
6228,2020-03-27,Esign Alta Hospital,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,12
6235,2020-03-27,Esign Alta Hospital,Ltcf,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,n95,19.0,30.0,570,12
6243,2020-03-27,Maricopa County Human Services,County,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,384.0,50.0,19200,12
6354,2020-03-27,The Groves,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,12.0,50.0,600,12
6358,2020-03-27,The Groves,Ltcf,"Masks, N95, Small",Maricopa,n95,30.0,20.0,600,12
6372,2020-03-27,The Groves,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,12
6373,2020-03-27,The Groves,Ltcf,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,12
6395,2020-03-27,Vitalant Blood,Fqhc,"Masks, N95, Small",Maricopa,n95,24.0,20.0,480,12
6408,2020-03-27,Vitalant Blood,Fqhc,"Gloves, (NITRILE), Small",SNS,gloves,2.0,100.0,200,12
6409,2020-03-27,Vitalant Blood,Fqhc,"Gloves, (NITRILE), Medium",SNS,gloves,2.0,100.0,200,12
6410,2020-03-27,Vitalant Blood,Fqhc,"Gloves, (NITRILE), Large",SNS,gloves,2.0,100.0,200,12
6428,2020-04-06,Allegiant,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,18.0,50.0,900,14
6432,2020-04-06,Allegiant,Ltcf,"Masks, N95, Small",SNS,n95,1.0,20.0,20,14
6433,2020-04-06,Allegiant,Ltcf,"Masks, N95, Med/Large",SNS,n95,17.0,20.0,340,14
6439,2020-04-06,Allegiant,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,14
6440,2020-04-06,Allegiant,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,14
6441,2020-04-06,Allegiant,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,14
6442,2020-04-06,Allegiant,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,14
6443,2020-04-06,Allegiant,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,14
6444,2020-04-06,Allegiant,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,14
6445,2020-04-06,Allegiant,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,14
6446,2020-04-06,Allegiant,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,14
6450,2020-04-06,Allegiant,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,14
6451,2020-04-06,Allegiant,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,7.0,24.0,168,14
6465,2020-04-06,Mariposa Point of Mesa,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,18.0,50.0,900,14
6469,2020-04-06,Mariposa Point of Mesa,Ltcf,"Masks, N95, Small",SNS,n95,1.0,20.0,20,14
6470,2020-04-06,Mariposa Point of Mesa,Ltcf,"Masks, N95, Med/Large",SNS,n95,17.0,20.0,340,14
6476,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,14
6477,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,14
6478,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,14
6479,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,14
6480,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,14
6481,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,14
6482,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,14
6483,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,14
6487,2020-04-06,Mariposa Point of Mesa,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,14
6488,2020-04-06,Mariposa Point of Mesa,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,7.0,24.0,168,14
6503,2020-04-06,Village at Ocotillo,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,18.0,50.0,900,14
6508,2020-04-06,Village at Ocotillo,Ltcf,"Masks, N95, Med/Large",SNS,n95,1.0,20.0,20,14
6509,2020-04-06,Village at Ocotillo,Ltcf,"Impermeable coverall without integrated hood, Medium",SNS,alt. gowns,17.0,1.0,17,14
6514,2020-04-06,Village at Ocotillo,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,14
6515,2020-04-06,Village at Ocotillo,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,14
6516,2020-04-06,Village at Ocotillo,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,14
6517,2020-04-06,Village at Ocotillo,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,14
6518,2020-04-06,Village at Ocotillo,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,14
6519,2020-04-06,Village at Ocotillo,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,14
6520,2020-04-06,Village at Ocotillo,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,14
6521,2020-04-06,Village at Ocotillo,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,14
6525,2020-04-06,Village at Ocotillo,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,14
6526,2020-04-06,Village at Ocotillo,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,7.0,24.0,168,14
6540,2020-04-07,Alice Group Home,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,18.0,50.0,900,14
6544,2020-04-07,Alice Group Home,Ltcf,"Masks, N95, Small",SNS,n95,1.0,20.0,20,14
6545,2020-04-07,Alice Group Home,Ltcf,"Masks, N95, Med/Large",SNS,n95,17.0,20.0,340,14
6551,2020-04-07,Alice Group Home,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,14
6552,2020-04-07,Alice Group Home,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,14
6553,2020-04-07,Alice Group Home,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,14
6554,2020-04-07,Alice Group Home,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,14
6555,2020-04-07,Alice Group Home,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,14
6556,2020-04-07,Alice Group Home,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,14
6557,2020-04-07,Alice Group Home,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,14
6558,2020-04-07,Alice Group Home,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,14
6562,2020-04-07,Alice Group Home,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,14
6563,2020-04-07,Alice Group Home,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,7.0,24.0,168,14
6577,2020-04-07,Avenir Memory,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,18.0,50.0,900,14
6581,2020-04-07,Avenir Memory,Ltcf,"Masks, N95, Small",SNS,n95,1.0,20.0,20,14
6582,2020-04-07,Avenir Memory,Ltcf,"Masks, N95, Med/Large",SNS,n95,17.0,20.0,340,14
6588,2020-04-07,Avenir Memory,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,14
6589,2020-04-07,Avenir Memory,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,14
6590,2020-04-07,Avenir Memory,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,14
6591,2020-04-07,Avenir Memory,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,14
6592,2020-04-07,Avenir Memory,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,14
6593,2020-04-07,Avenir Memory,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,14
6594,2020-04-07,Avenir Memory,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,14
6595,2020-04-07,Avenir Memory,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,14
6599,2020-04-07,Avenir Memory,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,14
6600,2020-04-07,Avenir Memory,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,7.0,24.0,168,14
6614,2020-04-07,Beatitudes Campus,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,18.0,50.0,900,14
6618,2020-04-07,Beatitudes Campus,Ltcf,"Masks, N95, Small",SNS,n95,1.0,20.0,20,14
6619,2020-04-07,Beatitudes Campus,Ltcf,"Masks, N95, Med/Large",SNS,n95,17.0,20.0,340,14
6625,2020-04-07,Beatitudes Campus,Ltcf,"Gown, Surgical, Sterile, Large",SNS,gowns,1.0,30.0,30,14
6626,2020-04-07,Beatitudes Campus,Ltcf,"Gown, Surgical, Sterile, XL",SNS,gowns,2.0,30.0,60,14
6627,2020-04-07,Beatitudes Campus,Ltcf,"Gown, Surgical, Sterile, XXL",SNS,gowns,2.0,18.0,36,14
6628,2020-04-07,Beatitudes Campus,Ltcf,"Gloves, (LATEX), Small",SNS,gloves,1.0,100.0,100,14
6629,2020-04-07,Beatitudes Campus,Ltcf,"Gloves, (LATEX), Medium",SNS,gloves,1.0,100.0,100,14
6630,2020-04-07,Beatitudes Campus,Ltcf,"Gloves, (LATEX), Large",SNS,gloves,1.0,100.0,100,14
6631,2020-04-07,Beatitudes Campus,Ltcf,"Gloves, (NITRILE), Small",SNS,gloves,1.0,100.0,100,14
6632,2020-04-07,Beatitudes Campus,Ltcf,"Gloves, (NITRILE), Medium",SNS,gloves,1.0,100.0,100,14
6636,2020-04-07,Beatitudes Campus,Ltcf,"Gloves, non-latex (VINYL), Large",SNS,gloves,1.0,100.0,100,14
6637,2020-04-07,Beatitudes Campus,Ltcf,"Face Shield, Full Foam Top",SNS,face shield,7.0,24.0,168,14
6651,2020-04-07,Christian Health,Ltcf,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,surgical mask,18.0,50.0,900,14
6655,2020-04-07,Christian Health,Ltcf,"Masks, N95, Small",SNS,n95,1.0,20.0,20,14
